iter	Passed	Remaining
0	4	16226
1	7	15453
2	11	15357
3	15	15307
4	18	15122
5	22	15033
6	26	15010
7	29	14868
8	33	14738
9	36	14709
10	40	14766
11	44	14802
12	48	14824
13	52	14833
14	55	14787
15	59	14898
16	63	14946
17	67	14921
18	71	14933
19	74	14920
20	78	14895
21	82	14847
22	85	14844
23	89	14825
24	93	14836
25	96	14790
26	100	14741
27	103	14749
28	107	14731
29	111	14739
30	114	14715
31	118	14745
32	122	14759
33	126	14741
34	129	14712
35	133	14712
36	137	14737
37	141	14717
38	144	14698
39	148	14707
40	152	14701
41	156	14716
42	159	14689
43	163	14671
44	166	14644
45	170	14643
46	174	14652
47	177	14633
48	181	14655
49	185	14690
50	189	14704
51	194	14736
52	198	14768
53	202	14813
54	207	14865
55	211	14883
56	215	14893
57	219	14905
58	223	14928
59	227	14968
60	232	14996
61	236	15014
62	240	15021
63	244	15044
64	248	15066
65	253	15089
66	257	15118
67	261	15127
68	265	15144
69	269	15141
70	274	15164
71	278	15187
72	281	15162
73	285	15148
74	289	15126
75	292	15125
76	296	15120
77	300	15108
78	304	15103
79	308	15108
80	311	15094
81	315	15092
82	319	15088
83	323	15082
84	327	15076
85	331	15083
86	335	15082
87	338	15067
88	342	15061
89	346	15058
90	350	15037
91	353	15025
92	357	15025
93	361	15021
94	365	15003
95	368	14999
96	372	15000
97	376	14989
98	380	14987
99	384	14985
100	387	14970
101	391	14955
102	395	14947
103	399	14951
104	403	14958
105	406	14950
106	410	14942
107	414	14931
108	418	14927
109	422	14931
110	426	14927
111	429	14922
112	433	14918
113	438	14945
114	442	14958
115	446	14946
116	450	14942
117	454	14941
118	458	14952
119	462	14952
120	466	14944
121	470	14944
122	474	14946
123	477	14933
124	481	14933
125	485	14921
126	489	14919
127	492	14912
128	496	14903
129	500	14896
130	506	14964
131	510	14971
132	514	14963
133	518	14963
134	522	14962
135	526	14950
136	530	14950
137	534	14959
138	538	14955
139	542	14951
140	546	14949
141	550	14950
142	554	14946
143	558	14942
144	561	14938
145	565	14934
146	570	14944
147	573	14938
148	577	14937
149	582	14939
150	585	14931
151	589	14922
152	593	14918
153	597	14921
154	601	14929
155	605	14916
156	608	14906
157	613	14906
158	616	14898
159	620	14887
160	624	14885
161	628	14879
162	632	14883
163	636	14876
164	640	14877
165	644	14876
166	648	14877
167	651	14868
168	655	14857
169	659	14851
170	663	14860
171	667	14852
172	670	14842
173	675	14843
174	679	14846
175	683	14845
176	687	14838
177	690	14832
178	694	14824
179	698	14832
180	702	14828
181	706	14818
182	710	14811
183	714	14812
184	718	14809
185	721	14794
186	725	14793
187	729	14797
188	733	14784
189	736	14775
190	740	14773
191	744	14773
192	748	14769
193	752	14755
194	755	14742
195	759	14745
196	764	14749
197	767	14740
198	771	14730
199	775	14729
200	779	14728
201	782	14716
202	786	14709
203	790	14701
204	794	14707
205	798	14699
206	801	14693
207	805	14681
208	809	14680
209	813	14687
210	817	14681
211	821	14673
212	825	14676
213	830	14688
214	834	14689
215	838	14684
216	842	14688
217	846	14688
218	850	14686
219	854	14676
220	858	14677
221	863	14695
222	867	14690
223	870	14677
224	874	14677
225	878	14671
226	882	14667
227	885	14656
228	889	14651
229	893	14651
230	897	14643
231	901	14635
232	904	14630
233	908	14629
234	913	14628
235	916	14621
236	920	14621
237	925	14624
238	928	14616
239	932	14616
240	936	14611
241	941	14614
242	944	14606
243	948	14595
244	951	14590
245	955	14588
246	961	14603
247	964	14599
248	968	14591
249	972	14590
250	976	14584
251	980	14577
252	984	14576
253	988	14573
254	992	14574
255	995	14566
256	999	14562
257	1003	14559
258	1008	14561
259	1011	14550
260	1015	14546
261	1019	14539
262	1023	14541
263	1027	14542
264	1031	14535
265	1035	14533
266	1039	14529
267	1043	14529
268	1046	14521
269	1050	14517
270	1054	14510
271	1058	14510
272	1062	14503
273	1066	14501
274	1070	14500
275	1074	14499
276	1078	14489
277	1082	14487
278	1085	14476
279	1089	14477
280	1093	14476
281	1097	14467
282	1101	14463
283	1105	14466
284	1109	14457
285	1112	14449
286	1116	14445
287	1120	14443
288	1124	14437
289	1127	14427
290	1131	14420
291	1135	14421
292	1140	14426
293	1143	14418
294	1147	14411
295	1151	14408
296	1155	14408
297	1159	14408
298	1163	14398
299	1167	14393
300	1171	14390
301	1174	14380
302	1177	14371
303	1181	14364
304	1185	14365
305	1189	14364
306	1193	14359
307	1197	14351
308	1201	14349
309	1205	14346
310	1209	14342
311	1212	14338
312	1216	14328
313	1220	14331
314	1225	14332
315	1229	14328
316	1232	14320
317	1236	14319
318	1240	14314
319	1244	14310
320	1248	14305
321	1252	14304
322	1256	14302
323	1260	14302
324	1264	14294
325	1268	14290
326	1272	14296
327	1276	14291
328	1280	14284
329	1284	14285
330	1288	14278
331	1292	14278
332	1295	14270
333	1299	14264
334	1303	14258
335	1307	14252
336	1310	14249
337	1315	14250
338	1319	14248
339	1323	14250
340	1327	14244
341	1331	14240
342	1335	14240
343	1339	14232
344	1343	14232
345	1347	14227
346	1351	14228
347	1355	14227
348	1360	14233
349	1364	14233
350	1369	14239
351	1373	14236
352	1377	14230
353	1380	14222
354	1384	14220
355	1389	14219
356	1392	14213
357	1396	14206
358	1400	14200
359	1404	14196
360	1408	14195
361	1412	14192
362	1415	14186
363	1420	14190
364	1425	14193
365	1428	14187
366	1432	14183
367	1436	14177
368	1441	14189
369	1447	14204
370	1451	14201
371	1456	14203
372	1460	14200
373	1465	14203
374	1468	14197
375	1472	14191
376	1476	14190
377	1481	14196
378	1485	14194
379	1490	14194
380	1494	14191
381	1498	14192
382	1502	14192
383	1506	14185
384	1510	14183
385	1514	14178
386	1518	14174
387	1522	14172
388	1526	14168
389	1530	14166
390	1534	14163
391	1538	14164
392	1543	14166
393	1548	14171
394	1551	14162
395	1556	14162
396	1560	14162
397	1564	14157
398	1567	14151
399	1571	14147
400	1575	14142
401	1579	14135
402	1583	14131
403	1586	14124
404	1590	14117
405	1593	14109
406	1597	14106
407	1601	14100
408	1605	14093
409	1609	14092
410	1613	14086
411	1617	14090
412	1621	14085
413	1626	14085
414	1629	14079
415	1634	14079
416	1638	14079
417	1643	14080
418	1648	14085
419	1652	14086
420	1657	14094
421	1662	14093
422	1666	14089
423	1670	14087
424	1674	14085
425	1679	14088
426	1682	14079
427	1686	14072
428	1690	14068
429	1693	14061
430	1697	14054
431	1701	14053
432	1704	14044
433	1709	14042
434	1712	14033
435	1716	14028
436	1720	14024
437	1723	14019
438	1727	14011
439	1731	14007
440	1734	14000
441	1738	13996
442	1743	13997
443	1747	13997
444	1751	13992
445	1755	13988
446	1759	13986
447	1764	13987
448	1767	13980
449	1772	13984
450	1777	13988
451	1783	14000
452	1790	14023
453	1796	14028
454	1801	14033
455	1805	14033
456	1810	14032
457	1814	14029
458	1818	14025
459	1822	14027
460	1827	14029
461	1832	14032
462	1836	14027
463	1842	14037
464	1846	14039
465	1851	14043
466	1857	14053
467	1861	14051
468	1865	14044
469	1869	14041
470	1873	14037
471	1877	14030
472	1881	14033
473	1886	14033
474	1891	14034
475	1894	14029
476	1899	14026
477	1903	14022
478	1906	14014
479	1910	14006
480	1913	13999
481	1917	13997
482	1921	13988
483	1924	13980
484	1928	13979
485	1932	13971
486	1936	13967
487	1939	13960
488	1943	13953
489	1946	13942
490	1949	13933
491	1953	13928
492	1957	13921
493	1960	13912
494	1963	13906
495	1967	13898
496	1971	13893
497	1975	13888
498	1978	13880
499	1982	13875
500	1986	13872
501	1989	13864
502	1993	13859
503	1997	13852
504	2000	13847
505	2004	13839
506	2007	13830
507	2010	13822
508	2014	13814
509	2019	13816
510	2022	13810
511	2026	13804
512	2029	13796
513	2033	13792
514	2036	13782
515	2039	13773
516	2043	13765
517	2047	13763
518	2051	13757
519	2054	13749
520	2058	13743
521	2061	13737
522	2065	13731
523	2068	13724
524	2072	13721
525	2076	13717
526	2080	13708
527	2084	13704
528	2087	13697
529	2091	13692
530	2094	13685
531	2098	13677
532	2102	13676
533	2105	13669
534	2109	13661
535	2113	13658
536	2117	13653
537	2120	13647
538	2124	13639
539	2127	13630
540	2130	13623
541	2134	13615
542	2137	13607
543	2140	13599
544	2144	13595
545	2147	13587
546	2151	13580
547	2154	13573
548	2158	13566
549	2161	13559
550	2165	13553
551	2168	13546
552	2172	13539
553	2175	13533
554	2179	13525
555	2182	13517
556	2186	13513
557	2191	13515
558	2195	13511
559	2198	13507
560	2203	13506
561	2207	13501
562	2211	13498
563	2214	13493
564	2219	13492
565	2224	13495
566	2229	13497
567	2233	13496
568	2237	13491
569	2240	13484
570	2244	13480
571	2248	13473
572	2251	13468
573	2255	13461
574	2258	13455
575	2263	13454
576	2267	13453
577	2272	13455
578	2276	13450
579	2281	13450
580	2285	13447
581	2289	13444
582	2292	13438
583	2296	13431
584	2300	13427
585	2303	13420
586	2307	13413
587	2310	13405
588	2313	13397
589	2317	13394
590	2320	13387
591	2324	13383
592	2328	13378
593	2332	13375
594	2336	13371
595	2340	13366
596	2343	13361
597	2347	13355
598	2350	13348
599	2355	13349
600	2359	13343
601	2362	13334
602	2365	13328
603	2370	13326
604	2374	13322
605	2377	13316
606	2381	13310
607	2384	13303
608	2388	13297
609	2392	13294
610	2396	13290
611	2400	13289
612	2404	13282
613	2407	13278
614	2412	13276
615	2416	13275
616	2420	13271
617	2424	13269
618	2427	13261
619	2432	13258
620	2436	13255
621	2439	13250
622	2443	13242
623	2446	13236
624	2450	13233
625	2454	13229
626	2457	13222
627	2461	13216
628	2464	13210
629	2468	13202
630	2471	13195
631	2475	13193
632	2479	13189
633	2485	13193
634	2488	13188
635	2492	13186
636	2497	13183
637	2501	13180
638	2505	13176
639	2509	13174
640	2513	13170
641	2517	13170
642	2522	13169
643	2526	13165
644	2531	13165
645	2535	13161
646	2539	13159
647	2543	13156
648	2547	13154
649	2551	13152
650	2556	13153
651	2560	13149
652	2564	13145
653	2568	13142
654	2572	13137
655	2576	13134
656	2580	13130
657	2585	13129
658	2590	13131
659	2594	13130
660	2599	13129
661	2603	13125
662	2607	13123
663	2611	13119
664	2615	13118
665	2621	13123
666	2626	13123
667	2630	13119
668	2634	13118
669	2638	13112
670	2641	13106
671	2645	13101
672	2648	13094
673	2652	13090
674	2656	13083
675	2659	13076
676	2662	13070
677	2667	13068
678	2671	13065
679	2674	13057
680	2678	13052
681	2682	13049
682	2687	13051
683	2691	13050
684	2696	13047
685	2700	13046
686	2704	13040
687	2707	13035
688	2711	13029
689	2715	13025
690	2719	13022
691	2722	13016
692	2726	13011
693	2730	13006
694	2733	12999
695	2737	12995
696	2741	12991
697	2745	12986
698	2749	12985
699	2753	12980
700	2756	12974
701	2760	12968
702	2764	12964
703	2768	12960
704	2771	12955
705	2775	12951
706	2779	12947
707	2783	12942
708	2786	12934
709	2789	12927
710	2793	12921
711	2797	12917
712	2800	12910
713	2804	12905
714	2807	12900
715	2811	12893
716	2814	12887
717	2818	12884
718	2821	12877
719	2826	12877
720	2830	12871
721	2833	12863
722	2836	12857
723	2840	12850
724	2843	12846
725	2847	12841
726	2851	12836
727	2854	12830
